Date,ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020/10/16,l879013,119 Mugford Rd,Mugford Rd,Bayview Wellington,Aurora,"$750,000",3 baths,3 beds,https://aurora.listing.ca/119-mugford-rd.N4947565.htm#9h-y
2020/10/16,l878829,555 William Graham Dr 117,William Graham Dr,Rural Aurora,Aurora,"$519,900",2 baths,2 beds,https://aurora.listing.ca/555-william-graham-dr-117.N4947855.htm#9h-z
2020/10/16,l878165,71 Ochalski Rd,Ochalski Rd,Bayview Wellington,Aurora,"$775,000",3 baths,3 beds,https://aurora.listing.ca/71-ochalski-rd.N4946608.htm#9h-10
2020/10/16,l878161,59 Radial Dr,Radial Dr,Rural Aurora,Aurora,"$799,000",3 baths,3 beds,https://aurora.listing.ca/59-radial-dr.N4946527.htm#9h-11
2020/10/16,l878157,51 Glass Dr,Glass Dr,Aurora Highlands,Aurora,"$1,329,900",4 baths,3+1 beds,https://aurora.listing.ca/51-glass-dr.N4946479.htm#9h-12
2020/10/16,l878142,39 Davina Circ,Davina Circ,Aurora Estates,Aurora,"$3,388,800",6 baths,4 beds,https://aurora.listing.ca/39-davina-circ.N4946226.htm#9h-13
2020/10/16,l877940,85 Wellington St 205,Wellington St,Aurora Village,Aurora,"$479,000",1 baths,1+1 beds,https://aurora.listing.ca/85-wellington-st-205.N4946433.htm#9h-14
2020/10/16,l877506,95 Mosley St,Mosley St,Aurora Village,Aurora,"$1,548,000",4 baths,3+1 beds,https://aurora.listing.ca/95-mosley-st.N4945650.htm#9h-15
2020/10/16,l877350,15277 Yonge St 303,Yonge St,Aurora Village,Aurora,"$464,900",1 baths,1+1 beds,https://aurora.listing.ca/15277-yonge-st-303.N4946062.htm#9h-16
2020/10/16,l877131,11 Homer Cres,Homer Cres,Rural Aurora,Aurora,"$858,888",3 baths,3 beds,https://aurora.listing.ca/11-homer-cres.N4945577.htm#9h-17
2020/10/16,l877124,41 Fouracre Way,Fouracre Way,Bayview Northeast,Aurora,"$1,159,900",4 baths,4 beds,https://aurora.listing.ca/41-fouracre-way.N4945534.htm#9h-18
2020/10/16,l877050,311 Touch Gold Cres,Touch Gold Cres,Bayview Southeast,Aurora,"$1,570,000",4 baths,4 beds,https://aurora.listing.ca/311-touch-gold-cres.N4945488.htm#9h-19
2020/10/16,l877002,85 Connaught Ave,Connaught Ave,Aurora Village,Aurora,"$1,789,000",5 baths,4+1 beds,https://aurora.listing.ca/85-connaught-ave.N4945263.htm#9h-1a
2020/10/16,l876987,181 Kemano Rd,Kemano Rd,Aurora Heights,Aurora,"$1,398,000",4 baths,4 beds,https://aurora.listing.ca/181-kemano-rd.N4945430.htm#9h-1b
2020/10/16,l876659,146 Carisbrooke Circ,Carisbrooke Circ,Bayview Southeast,Aurora,"$1,999,000",4 baths,4 beds,https://aurora.listing.ca/146-carisbrooke-circ.N4945093.htm#9h-1c
2020/10/16,l876648,272 Stone Rd,Stone Rd,Aurora Grove,Aurora,"$959,000",4 baths,3 beds,https://aurora.listing.ca/272-stone-rd.N4944948.htm#9h-1d
2020/10/16,l876632,200 Orchard Heights Blvd,Orchard Heights Blvd,Aurora Heights,Aurora,"$1,070,000",3 baths,4 beds,https://aurora.listing.ca/200-orchard-heights-blvd.N4944646.htm#9h-1e
2020/10/16,l876424,500 Alex Gardner Circ 98,Alex Gardner Circ,Aurora Village,Aurora,"$679,999",3 baths,2 beds,https://aurora.listing.ca/500-alex-gardner-circ-98.N4944915.htm#9h-1f
2020/10/16,l875593,95 Lensmith Dr,Lensmith Dr,Aurora Highlands,Aurora,"$1,580,000",4 baths,4+2 beds,https://aurora.listing.ca/95-lensmith-dr.N4943653.htm#9h-1g
2020/10/16,l875472,139 Wells St,Wells St,Aurora Village,Aurora,"$890,900",2 baths,2+1 beds,https://aurora.listing.ca/139-wells-st.N4943425.htm#9h-1h
2020/10/16,l875395,555 William Graham Dr Ph430,William Graham Dr,Rural Aurora,Aurora,"$769,888",2 baths,2+1 beds,https://aurora.listing.ca/555-william-graham-dr-ph430.N4943395.htm#9h-1i
2020/10/16,l875167,93 Kennedy St,Kennedy St,Aurora Village,Aurora,"$2,149,000",4 baths,4 beds,https://aurora.listing.ca/93-kennedy-st.N4942844.htm#9h-1j
2020/10/16,l875156,52 Pederson Dr,Pederson Dr,Bayview Wellington,Aurora,"$799,800",3 baths,3 beds,https://aurora.listing.ca/52-pederson-dr.N4942655.htm#9h-1k
2020/10/16,l875150,281 Kennedy St,Kennedy St,Aurora Highlands,Aurora,"$1,439,000",5 baths,4+1 beds,https://aurora.listing.ca/281-kennedy-st.N4942561.htm#9h-1l
2020/10/16,l875144,33 Devins Dr,Devins Dr,Aurora Heights,Aurora,"$899,000",2 baths,3+1 beds,https://aurora.listing.ca/33-devins-dr.N4932317.htm#9h-1m
2020/10/16,l874574,293 Corner Ridge Rd,Corner Ridge Rd,Aurora Highlands,Aurora,"$1,419,000",5 baths,4 beds,https://aurora.listing.ca/293-corner-ridge-rd.N4942255.htm#9h-1n
2020/10/16,l874101,26 Marshview Ave,Marshview Ave,Bayview Northeast,Aurora,"$849,000",4 baths,3+2 beds,https://aurora.listing.ca/26-marshview-ave.N4941800.htm#9h-1o
2020/10/16,l873984,96 Milloy Pl,Milloy Pl,Aurora Grove,Aurora,"$769,000",4 baths,3+1 beds,https://aurora.listing.ca/96-milloy-pl.N4941653.htm#9h-1p
2020/10/16,l873707,215 Kennedy St,Kennedy St,Aurora Village,Aurora,"$1,279,000",5 baths,4+1 beds,https://aurora.listing.ca/215-kennedy-st.N4941471.htm#9h-1q
2020/10/16,l873186,149 Botelho Circ,Botelho Circ,Bayview Southeast,Aurora,"$1,998,000",5 baths,4 beds,https://aurora.listing.ca/149-botelho-circ.N4940684.htm#9h-1r
2020/10/16,l873155,27 Ostick St,Ostick St,Bayview Wellington,Aurora,"$799,900",3 baths,3 beds,https://aurora.listing.ca/27-ostick-st.N4940306.htm#9h-1s
2020/10/16,l872976,160 Wellington St 315,Wellington St,Aurora Village,Aurora,"$449,000",2 baths,2 beds,https://aurora.listing.ca/160-wellington-st-315.N4940808.htm#9h-1t
2020/10/16,l872969,91 Sandlewood Crt,Sandlewood Crt,Bayview Wellington,Aurora,"$749,000",3 baths,3 beds,https://aurora.listing.ca/91-sandlewood-crt.N4940682.htm#9h-1u
2020/10/16,l872963,445 Beacon Hall Dr 17,Beacon Hall Dr,Aurora Estates,Aurora,"$2,500,000",4 baths,2+1 beds,https://aurora.listing.ca/445-beacon-hall-dr-17.N4940529.htm#9h-1v
2020/10/16,l872946,555 William Graham Dr 314,William Graham Dr,Rural Aurora,Aurora,"$527,500",2 baths,1+1 beds,https://aurora.listing.ca/555-william-graham-dr-314.N4940139.htm#9h-1w
2020/10/16,l872693,156 Primeau Dr,Primeau Dr,Aurora Grove,Aurora,"$759,900",2 baths,3 beds,https://aurora.listing.ca/156-primeau-dr.N4940109.htm#9h-1x
2020/10/16,l872688,22 Marksbury Crt,Marksbury Crt,Aurora Heights,Aurora,"$1,125,000",3 baths,3 beds,https://aurora.listing.ca/22-marksbury-crt.N4940091.htm#9h-1y
2020/10/16,l872410,31 Buchanan Cres,Buchanan Cres,Aurora Village,Aurora,"$990,000",4 baths,4 beds,https://aurora.listing.ca/31-buchanan-cres.N4939778.htm#9h-1z
2020/10/16,l872299,99 Rothwell St,Rothwell St,Rural Aurora,Aurora,"$1,599,000",4 baths,4 beds,https://aurora.listing.ca/99-rothwell-st.N4939684.htm#9h-20
2020/10/16,l872132,31 Knowles Cres,Knowles Cres,Aurora Highlands,Aurora,"$937,400",2 baths,3 beds,https://aurora.listing.ca/31-knowles-cres.N4939341.htm#9h-21
2020/10/16,l871904,138 Championship Circle Pl,Championship Circle Pl,Aurora Estates,Aurora,"$2,199,998",5 baths,3+1 beds,https://aurora.listing.ca/138-championship-circle-pl.N4939258.htm#9h-22
2020/10/16,l871702,159 River Ridge Blvd,River Ridge Blvd,Bayview Northeast,Aurora,"$1,288,888",4 baths,4+3 beds,https://aurora.listing.ca/159-river-ridge-blvd.N4939043.htm#9h-23
2020/10/16,l871618,100 Limeridge St,Limeridge St,Bayview Wellington,Aurora,"$849,900",3 baths,3+1 beds,https://aurora.listing.ca/100-limeridge-st.N4938929.htm#9h-24
2020/10/16,l871603,132 Heathwood Heights Dr,Heathwood Heights Dr,Hills of St Andrew,Aurora,"$999,999",4 baths,3 beds,https://aurora.listing.ca/132-heathwood-heights-dr.N4938757.htm#9h-25
2020/10/16,l871544,400 Alex Gardner Circ 88,Alex Gardner Circ,Aurora Heights,Aurora,"$650,000",3 baths,3 beds,https://aurora.listing.ca/400-alex-gardner-circ-88.N4938830.htm#9h-26
2020/10/16,l871267,79 Stemmle Dr,Stemmle Dr,Aurora Highlands,Aurora,"$1,049,000",4 baths,4 beds,https://aurora.listing.ca/79-stemmle-dr.N4938608.htm#9h-27
2020/10/16,l871256,2 Jarvis Ave,Jarvis Ave,Aurora Estates,Aurora,"$2,860,000",5 baths,5+1 beds,https://aurora.listing.ca/2-jarvis-ave.N4938478.htm#9h-28
