ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020-10-17,l885565,20 Baif Blvd 204,Baif Blvd,North Richvale,Richmond Hill,$768000,2 baths,3 beds,https://richmond-hill.listing.ca/20-baif-blvd-204.N4955734.htm#1-x
2020-10-17,l885282,102 Pemberton Rd,Pemberton Rd,North Richvale,Richmond Hill,$3100000,6 baths,4+1 beds,https://richmond-hill.listing.ca/102-pemberton-rd.N4955509.htm#1-y
2020-10-17,l885275,62 Coburg Cres,Coburg Cres,Langstaff,Richmond Hill,$799900,4 baths,3 beds,https://richmond-hill.listing.ca/62-coburg-cres.N4955359.htm#1-z
2020-10-17,l885252,71 Meadowsweet Lane,Meadowsweet Lane,Oak Ridges Lake Wilcox,Richmond Hill,$1489000,4 baths,4+1 beds,https://richmond-hill.listing.ca/71-meadowsweet-lane.N4955099.htm#1-10
2020-10-17,l885244,23 Kiwi Cres,Kiwi Cres,Rouge Woods,Richmond Hill,$1188000,3 baths,3 beds,https://richmond-hill.listing.ca/23-kiwi-cres.N4954967.htm#1-11
2020-10-17,l885239,20 Misty Well Dr,Misty Well Dr,Jefferson,Richmond Hill,$1750000,5 baths,5+2 beds,https://richmond-hill.listing.ca/20-misty-well-dr.N4954903.htm#1-12
2020-10-17,l885234,33 Routledge Dr,Routledge Dr,Oak Ridges,Richmond Hill,$1500800,5 baths,4 beds,https://richmond-hill.listing.ca/33-routledge-dr.N4954889.htm#1-13
2020-10-17,l885233,39 Chalmers Rd,Chalmers Rd,Doncrest,Richmond Hill,$1750000,4 baths,4+3 beds,https://richmond-hill.listing.ca/39-chalmers-rd.N4954886.htm#1-14
2020-10-17,l885231,72 Littleside St,Littleside St,Oak Ridges,Richmond Hill,$1899888,4 baths,4 beds,https://richmond-hill.listing.ca/72-littleside-st.N4954881.htm#1-15
2020-10-17,l885224,138 Alamo Heights Dr,Alamo Heights Dr,Westbrook,Richmond Hill,$1499000,4 baths,4 beds,https://richmond-hill.listing.ca/138-alamo-heights-dr.N4954752.htm#1-16
2020-10-17,l885221,249 Carrville Rd,Carrville Rd,South Richvale,Richmond Hill,$3199000,6 baths,4+1 beds,https://richmond-hill.listing.ca/249-carrville-rd.N4954688.htm#1-17
2020-10-17,l884993,9618 Yonge St 1108,Yonge St,North Richvale,Richmond Hill,$499000,1 baths,1+1 beds,https://richmond-hill.listing.ca/9618-yonge-st-1108.N4955260.htm#1-18
2020-10-17,l884989,33 Weldrick Rd 702,Weldrick Rd,Observatory,Richmond Hill,$654800,2 baths,2 beds,https://richmond-hill.listing.ca/33-weldrick-rd-702.N4955147.htm#1-19
2020-10-17,l884984,9471 Yonge St 344,Yonge St,Observatory,Richmond Hill,$519800,2 baths,1+1 beds,https://richmond-hill.listing.ca/9471-yonge-st-344.N4955027.htm#1-1a
2020-10-17,l884979,75 Norman Bethune Ave 608,Norman Bethune Ave,Beaver Creek Business Park,Richmond Hill,$399888,1 baths,1 beds,https://richmond-hill.listing.ca/75-norman-bethune-ave-608.N4954747.htm#1-1b
2020-10-17,l884730,62 Lowther Ave,Lowther Ave,Oak Ridges,Richmond Hill,$838800,4 baths,3 beds,https://richmond-hill.listing.ca/62-lowther-ave.N4954251.htm#1-1c
2020-10-17,l884729,10 Lafferty Lane,Lafferty Lane,Crosby,Richmond Hill,$999000,3 baths,3 beds,https://richmond-hill.listing.ca/10-lafferty-lane.N4953978.htm#1-1d
2020-10-17,l884642,18 Wainwright Ave,Wainwright Ave,North Richvale,Richmond Hill,$1625000,5 baths,4+2 beds,https://richmond-hill.listing.ca/18-wainwright-ave.N4954125.htm#1-1e
