ID,Address,Street,Neighbourhood,City,Price,Bathroom,Bedroom,Link
2020-10-17,l887090,2212 Lake Shore Blvd 4308,Lake Shore Blvd,Mimico,Toronto,$709000,2 baths,2+1 beds,https://toronto.listing.ca/2212-lake-shore-blvd-4308.W4957467.htm#15-y
2020-10-17,l887084,65 George Appleton Way 2075,George Appleton Way,Downsview-Roding-CFB,Toronto,$469900,1 baths,1 beds,https://toronto.listing.ca/65-george-appleton-way-2075.W4957434.htm#15-z
2020-10-17,l887081,117 The Queensway Ave Unit 94,The Queensway Ave,High Park-Swansea,Toronto,$979900,3 baths,3+1 beds,https://toronto.listing.ca/117-the-queensway-ave-unit-94.W4957368.htm#15-10
2020-10-17,l887064,60 Brian Harrison Way 1607,Brian Harrison Way,Bendale,Toronto,$499980,2 baths,2 beds,https://toronto.listing.ca/60-brian-harrison-way-1607.E4957528.htm#15-11
2020-10-17,l887063,50 Brian Harrison Way,Brian Harrison Way,Bendale,Toronto,$470000,1 baths,1+1 beds,https://toronto.listing.ca/50-brian-harrison-way.E4957514.htm#15-12
2020-10-17,l887062,2315 Danforth Ave 104,Danforth Ave,Danforth Village-East York,Toronto,$643850,2 baths,1 beds,https://toronto.listing.ca/2315-danforth-ave-104.E4957512.htm#15-13
2020-10-17,l887058,2315 Danforth Ave 102,Danforth Ave,Danforth Village-East York,Toronto,$652850,2 baths,1 beds,https://toronto.listing.ca/2315-danforth-ave-102.E4957477.htm#15-14
2020-10-17,l887056,175 Jonesave Ave 6,Jonesave Ave,South Riverdale,Toronto,$899000,2 baths,2+2 beds,https://toronto.listing.ca/175-jonesave-ave-6.E4957387.htm#15-15
2020-10-17,l887054,231 Fort York Blvd 1605,Fort York Blvd,Niagara,Toronto,$535000,1 baths,1 beds,https://toronto.listing.ca/231-fort-york-blvd-1605.C4957520.htm#15-16
2020-10-17,l887050,290 Adelaide St 2001,Adelaide St,Waterfront Communities C1,Toronto,$859000,1 baths,2 beds,https://toronto.listing.ca/290-adelaide-st-2001.C4957509.htm#15-17
2020-10-17,l887044,18 Graydon Hall Dr 2009,Graydon Hall Dr,Parkwoods-Donalda,Toronto,$599000,2 baths,2 beds,https://toronto.listing.ca/18-graydon-hall-dr-2009.C4957492.htm#15-18
2020-10-17,l887042,90 Stadium Rd 1204,Stadium Rd,Niagara,Toronto,$1039000,2 baths,2+1 beds,https://toronto.listing.ca/90-stadium-rd-1204.C4957488.htm#15-19
2020-10-17,l887037,3 Navy Wharf Crt 1803,Navy Wharf Crt,Waterfront Communities C1,Toronto,$679900,1 baths,1+1 beds,https://toronto.listing.ca/3-navy-wharf-crt-1803.C4957465.htm#15-1a
2020-10-17,l887032,50 Wellesley St 3303,Wellesley St,Church-Yonge Corridor,Toronto,$699900,1 baths,1+1 beds,https://toronto.listing.ca/50-wellesley-st-3303.C4957457.htm#15-1b
2020-10-17,l887026,65 Skymark Dr 402,Skymark Dr,Hillcrest Village,Toronto,$1189000,3 baths,3 beds,https://toronto.listing.ca/65-skymark-dr-402.C4957437.htm#15-1c
2020-10-17,l887017,560 Front St 509,Front St,Waterfront Communities C1,Toronto,$575000,1 baths,1 beds,https://toronto.listing.ca/560-front-st-509.C4957393.htm#15-1d
2020-10-17,l887016,1603 Eglinton Ave Ave 1301,Eglinton Ave Ave,Oakwood-Vaughan,Toronto,$794900,2 baths,2 beds,https://toronto.listing.ca/1603-eglinton-ave-ave-1301.C4957392.htm#15-1e
2020-10-17,l887012,8 Park Rd 2510,Park Rd,Rosedale-Moore Park,Toronto,$859000,2 baths,2 beds,https://toronto.listing.ca/8-park-rd-2510.C4957376.htm#15-1f
2020-10-17,l886948,43 Vanevery St,Vanevery St,Mimico,Toronto,$799000,2 baths,2 beds,https://toronto.listing.ca/43-vanevery-st.W4957260.htm#15-1g
2020-10-17,l886922,34 Milton St,Milton St,Mimico,Toronto,$599000,1 baths,2 beds,https://toronto.listing.ca/34-milton-st.W4957078.htm#15-1h
2020-10-17,l886918,77 Struthers St,Struthers St,Mimico,Toronto,$1679000,4 baths,4 beds,https://toronto.listing.ca/77-struthers-st.W4957030.htm#15-1i
2020-10-17,l886906,21 Simpson Ave,Simpson Ave,Mimico,Toronto,$899000,2 baths,2 beds,https://toronto.listing.ca/21-simpson-ave.W4956923.htm#15-1j
2020-10-17,l886893,197 Thirtieth St,Thirtieth St,Alderwood,Toronto,$2250000,1 baths,3 beds,https://toronto.listing.ca/197-thirtieth-st.W4956813.htm#15-1k
